source,target,is_chronic_path,gender_f,gender_m,gender_all,age_le_40,age_mid,age_gt_60,age_all,within_02_years,within_05_years,within_10_years,within_all_years,Weight
1,14,0,1,0,1,0,0,1,1,1,1,1,1,2
1,3,1,0,1,1,0,0,1,1,0,0,0,1,1
1,3,1,0,1,1,0,0,1,1,1,1,1,1,16
1,3,1,0,1,1,0,1,0,1,0,0,0,1,2
1,3,1,0,1,1,0,1,0,1,0,0,1,1,1
1,3,1,0,1,1,0,1,0,1,0,1,1,1,1
1,3,1,1,0,1,0,0,1,1,0,0,0,1,2
1,3,1,1,0,1,0,0,1,1,0,1,1,1,1
1,3,1,1,0,1,0,0,1,1,1,1,1,1,20
1,3,1,1,0,1,0,1,0,1,0,1,1,1,4
1,3,1,1,0,1,0,1,0,1,1,1,1,1,5
1,3,1,1,0,1,1,0,0,1,0,0,0,1,1
1,3,1,1,0,1,1,0,0,1,1,1,1,1,13
1,4,1,0,1,1,0,0,1,1,0,0,0,1,7
1,4,1,0,1,1,0,0,1,1,0,0,1,1,5
1,4,1,0,1,1,0,0,1,1,0,1,1,1,10
1,4,1,0,1,1,0,0,1,1,1,1,1,1,20
1,4,1,0,1,1,0,1,0,1,0,0,0,1,11
1,4,1,0,1,1,0,1,0,1,0,0,1,1,4
1,4,1,0,1,1,0,1,0,1,0,1,1,1,3
1,4,1,0,1,1,0,1,0,1,1,1,1,1,4
1,4,1,0,1,1,1,0,0,1,0,0,0,1,1
1,4,1,1,0,1,0,0,1,1,0,0,0,1,4
1,4,1,1,0,1,0,0,1,1,0,0,1,1,1
1,4,1,1,0,1,0,0,1,1,0,1,1,1,18
1,4,1,1,0,1,0,0,1,1,1,1,1,1,22
1,4,1,1,0,1,0,1,0,1,0,0,0,1,3
1,4,1,1,0,1,0,1,0,1,0,0,1,1,11
1,4,1,1,0,1,0,1,0,1,0,1,1,1,6
1,4,1,1,0,1,0,1,0,1,1,1,1,1,4
1,4,1,1,0,1,1,0,0,1,0,0,0,1,1
1,4,1,1,0,1,1,0,0,1,0,1,1,1,1
1,4,1,1,0,1,1,0,0,1,1,1,1,1,1
1,6,1,0,1,1,0,0,1,1,0,0,0,1,6
1,6,1,0,1,1,0,0,1,1,0,0,1,1,1
1,6,1,0,1,1,0,0,1,1,1,1,1,1,2
1,6,1,0,1,1,0,1,0,1,1,1,1,1,3
1,6,1,1,0,1,0,0,1,1,0,0,0,1,4
1,6,1,1,0,1,0,0,1,1,0,0,1,1,1
1,6,1,1,0,1,0,0,1,1,1,1,1,1,26
1,6,1,1,0,1,0,1,0,1,0,0,0,1,1
1,15,0,0,1,1,0,0,1,1,0,0,0,1,2
1,15,0,0,1,1,0,0,1,1,0,0,1,1,1
1,15,0,0,1,1,0,0,1,1,1,1,1,1,16
1,15,0,1,0,1,0,0,1,1,1,1,1,1,8
1,7,1,0,1,1,0,0,1,1,0,0,0,1,1
1,7,1,0,1,1,0,0,1,1,1,1,1,1,27
1,7,1,0,1,1,0,1,0,1,1,1,1,1,1
1,7,1,1,0,1,0,0,1,1,0,0,0,1,2
1,7,1,1,0,1,0,0,1,1,0,1,1,1,8
1,7,1,1,0,1,0,0,1,1,1,1,1,1,8
1,7,1,1,0,1,0,1,0,1,0,1,1,1,2
1,7,1,1,0,1,0,1,0,1,1,1,1,1,4
1,5,1,0,1,1,0,0,1,1,0,0,0,1,18
1,5,1,0,1,1,0,0,1,1,0,0,1,1,6
1,5,1,0,1,1,0,0,1,1,0,1,1,1,18
1,5,1,0,1,1,0,0,1,1,1,1,1,1,84
1,5,1,0,1,1,0,1,0,1,0,0,0,1,7
1,5,1,0,1,1,0,1,0,1,0,0,1,1,2
1,5,1,0,1,1,0,1,0,1,0,1,1,1,4
1,5,1,0,1,1,0,1,0,1,1,1,1,1,21
1,5,1,0,1,1,1,0,0,1,0,0,0,1,1
1,5,1,0,1,1,1,0,0,1,1,1,1,1,2
1,5,1,1,0,1,0,0,1,1,0,0,0,1,6
1,5,1,1,0,1,0,0,1,1,0,0,1,1,10
1,5,1,1,0,1,0,0,1,1,0,1,1,1,15
